English Word	Is Important	Pronunciation	POS Symbol	Part of Speech	Japanese Translation	Origin	Reference Page
always	TRUE	[ɔ́ːlweiz]	G	Adverb	いつも	1	1
am	TRUE	[æm]	B	Verb	〜である, 〜にいる [be動詞 is と同じ意味]	1	1
a.m. / am / AM	FALSE	[èiém]	G	Adverb	午前	1	1
am	TRUE	[æm, əm]	M	Auxiliary verb	〜である (主語が I のときの be 動詞現在形)	1	1
amazing	TRUE	[əméiziŋ]	K	Adjective	すばらしい, 見事な	1	1
Amazon	FALSE	[ǽməzɑ̀n]	A	Noun	アマゾン川	1	1
ambassador	FALSE	[æmbǽsədər]	A	Noun	大使	94	94
ambitious	FALSE	[æmbíʃəs]	K	Adjective	大望のある	1	1
American	FALSE	[əmérikən]	K	Adjective	アメリカ(人)の	35	35
American football	FALSE	[əmérikən fútbɔ̀ːl]	A	Noun	アメリカンフットボール	131	131
amount	FALSE	[əmáunt]	A	Noun	量	42	42
amusement park	FALSE	[əmjúːzmənt pὰːrk]	A	Noun	遊園地	15	15
an	TRUE	[æn]	K	Adjective	1つの, 1人の	1	1
and	TRUE	[ænd, ənd]	H	Conjunction	〜と〜, そして	1	1
animal	TRUE	[ǽnəməl]	A	Noun	動物	1	1
Ann	FALSE	[æn]	A	Noun	アン (女子の名)	1	1
annoyed	FALSE	[ənɔ́id]	K	Adjective	いらいらして	130	130
annoying	FALSE	[ənɔ́iiŋ]	K	Adjective	いらいらさせる	1	1
annual	FALSE	[ǽnjuəl]	K	Adjective	年に1回の	79	79
another	FALSE	[ənʌ́ðər]	K	Adjective	もう1つの, 別の	92	92
one after another	FALSE	—	—	—	次々に	92	92
answer	TRUE	[ǽnsər]	B	Verb	答える	48	48
ant	FALSE	[ænt]	A	Noun	アリ	1	1
any	TRUE	[éni]	K	Adjective	(疑問文で) 何か, いくつか	130	130
any	TRUE	[éni]	K	Adjective	(否定文で) 何も(〜ない), 1つ[人]も(〜ない)	1	1
any	TRUE	[éni]	K	Adjective	(肯定文で) どんな〜も	1	1
any	TRUE	[éni]	E	Pronoun	(〜の中の)どれか, だれか	1	1
any of ~	FALSE	—	—	—	〜のうちのどれか[だれか]	56	56
anyone	FALSE	[éniwʌ̀n]	E	Pronoun	(疑問文で) だれか	1	1
anything	FALSE	[éniθìŋ]	E	Pronoun	(疑問文で) 何か	1	1
anyway	FALSE	[éniwèi]	G	Adverb	とにかく	1	1
apartment	FALSE	[əpάːrtmənt]	A	Noun	アパート	1	1
apologize	FALSE	[əpάlədʒàiz]	B	Verb	謝る	124	124
appear	FALSE	[əpíər]	B	Verb	現れる	117	117
apple	TRUE	[ǽpl]	A	Noun	リンゴ	127	127
approach	FALSE	[əpróutʃ]	B	Verb	近づく	1	1
apricot	FALSE	[éiprikὰt]	A	Noun	アンズ	126	126
April	TRUE	[éiprəl]	A	Noun	4月	1	1
apron	FALSE	[éiprən]	A	Noun	エプロン	66	66
aquarium	FALSE	[əkwɛ́əriəm]	A	Noun	水族館	1	1
are	TRUE	[ɑːr]	B	Verb	〜である, 〜にいる (主語が you, they または複数の名詞のときの be 動詞現在形)	1	1
are	TRUE	[ɑːr]	M	Auxiliary verb	〜である (主語が複数形のときの be 動詞現在形)	1	1
aren't	FALSE	[ɑːrnt]	—	—	(are not の短縮形)	1	1
around	TRUE	[əráund]	D	Preposition	〜のあちこちに[で]	1	1
around	TRUE	[əráund]	G	Adverb	あちこちを[に, で]	1	1
arrive	TRUE	[əráiv]	B	Verb	着く, 到着する	21	21
art	TRUE	[ɑːrt]	A	Noun	美術, 芸術	1	1
art museum	FALSE	[ɑːrt mjuːzíːəm]	A	Noun	美術館	132	132
artist	FALSE	[άːrtist]	A	Noun	芸術家, アーティスト	46	46
as	FALSE	[æz, əz]	H	Conjunction	〜として	1	1
ashamed	FALSE	[əʃéimd]	K	Adjective	恥じて	42	42
ask	TRUE	[æsk]	B	Verb	尋ねる, 頼む	76	76
ask ~ for ...	FALSE	—	—	—	〜に…を求める, 頼む	76	76
asleep	FALSE	[əslíːp]	K	Adjective	眠って	48	48
fall asleep	FALSE	—	—	—	眠り込む	71	71
astronaut	FALSE	[ǽstrənɔ̀ːt]	A	Noun	宇宙飛行士	125	125
at	TRUE	[æt]	D	Preposition	(場所を表して) 〜で, 〜に	130	130
at	TRUE	[æt]	D	Preposition	(時刻を表して) 〜に	1	1
at ~	FALSE	—	—	—	(状態などを表して) 〜に	1	1
at first	FALSE	—	—	—	最初は	1	1
at last	FALSE	—	—	—	ついに	92	92
at war	FALSE	—	—	—	戦争中で	126	126
ate	FALSE	[eit]	B	Verb	(eat の過去形)	1	1
athlete	FALSE	[ǽθliːt]	A	Noun	運動選手, アスリート	66	66
atomic	FALSE	[ətάmik]	K	Adjective	原子(力)の	112	112
attack	FALSE	[ətǽk]	B	Verb	襲う, 攻撃する	1	1
attention	FALSE	[əténʃən]	A	Noun	注目	1	1
Pay attention.	FALSE	—	—	—	注目しなさい (アナウンスで) お知らせします	1	1
August	TRUE	[ɔ́ːgəst]	A	Noun	8月	117	117
aunt	FALSE	[ænt]	A	Noun	おば	1	1
aurora	FALSE	[ərɔ́ːrə]	A	Noun	オーロラ	1	1
Australia	TRUE	[ɔːstréiljə]	A	Noun	オーストラリア	1	1
autumn	FALSE	[ɔ́ːtəm]	A	Noun	秋	1	1
avocado	FALSE	[æ̀vəkάːdou]	A	Noun	アボカド	126	126
awake	FALSE	[əwéik]	G	Adverb	目がさめて	102	102
away	TRUE	[əwéi]	G	Adverb	去って, 離れて	1	1
awesome	FALSE	[ɔ́ːsəm]	K	Adjective	すごい, すばらしい	1	1
baby	TRUE	[béibi]	A	Noun	赤ちゃん	1	1
back	TRUE	[bæk]	A	Noun	背中	1	1
back	TRUE	[bæk]	G	Adverb	(元の場所に) もどって	1	1
back	TRUE	[bæk]	G	Adverb	後ろへ[に]	46	46
bad	TRUE	[bæd]	K	Adjective	悪い	1	1
badge	FALSE	[bædʒ]	A	Noun	バッジ	115	115
badminton	TRUE	[bǽdmintən]	A	Noun	バドミントン	1	1
bag	TRUE	[bæg]	A	Noun	かばん, 袋	1	1
bakery	FALSE	[béikəri]	A	Noun	パン屋	132	132
balance	FALSE	[bǽləns]	A	Noun	バランス, つり合い	1	1
ball	TRUE	[bɔːl]	A	Noun	ボール	1	1
ball-point pen [ball-pen]	FALSE	[bɔ́ːlpɔ̀int pèn]	A	Noun	ボールペン	130	130
banana	TRUE	[bənǽnə]	A	Noun	バナナ	1	1
bang	FALSE	[bæŋ]	B	Verb	ドカンという音を立てる	132	132
barbershop	FALSE	[bάːrbərʃὰp]	A	Noun	理髪店	1	1
baseball	TRUE	[béisbɔ̀ːl]	A	Noun	野球	1	1
basketball	TRUE	[bǽskitbɔ̀ːl]	A	Noun	バスケットボール	1	1
a basketball game	FALSE	—	—	—	バスケットボールの試合	36	36
bat	FALSE	[bæt]	A	Noun	コウモリ	1	1
bath	TRUE	[bæθ]	A	Noun	ふろ, 入浴	1	1
take a bath	FALSE	—	—	—	ふろに入る	1	1
bathroom	TRUE	[bǽθrùːm]	A	Noun	浴室, トイレ	1	1
be	TRUE	[biː, bi]	B	Verb	〜になる, 〜である	1	1
be able to ~	FALSE	—	—	—	〜することができる	81	81
be interested in ~	FALSE	—	—	—	〜に興味がある	21	21
be ready to ~	FALSE	—	—	—	〜の準備ができている	69	69
beach	TRUE	[biːtʃ]	A	Noun	浜, 砂浜, 海辺, 海岸	1	1
bear	FALSE	[bɛər]	A	Noun	クマ	43	43
beat	FALSE	[biːt]	B	Verb	打ち負かす	1	1
beautiful	TRUE	[bjúːtəfl]	K	Adjective	美しい, すばらしい	1	1
became	FALSE	[bikéim]	B	Verb	(become の過去形)	57	57
become	TRUE	[bikʌ́m]	B	Verb	〜になる	74	74
Becky	FALSE	[béki]	A	Noun	ベッキー (女子の名)	1	1
because	TRUE	[bikɔ́ːz]	H	Conjunction	(理由･原因) 〜なので	120	120
bed	TRUE	[bed]	A	Noun	ベッド, 寝床	1	1
go to bed	FALSE	—	—	—	寝る, 就寝する	59	59
bedroom	TRUE	[bédrùːm]	A	Noun	寝室	81	81
bee	FALSE	[biː]	A	Noun	ハチ, ミツバチ	86	86
beef	FALSE	[biːf]	A	Noun	牛肉, ビーフ	53	53
before	TRUE	[bifɔ́ːr]	D	Preposition	〜の前に	1	1
before	TRUE	[bifɔ́ːr]	H	Conjunction	〜する前に	1	1
beige	FALSE	[beiʒ]	K	Adjective	ベージュ色の	130	130
believe	TRUE	[bilíːv]	B	Verb	信じる, 思う	24	24
believe in ~	FALSE	—	—	—	〜(の可能性・存在)を信じる	25	25
bell	TRUE	[bel]	A	Noun	ベル, 鐘(の音)	1	1
beside	FALSE	[bisáid]	D	Preposition	〜のそばに[で]	71	71
best	TRUE	[best]	K	Adjective	いちばんよい	1	1
best	TRUE	[best]	G	Adverb	(〜)の中でいちばん, 最も	13	13
best	TRUE	[best]	G	Adverb	もっともよく (well, very much の最上級)	98	98
do one's best	FALSE	—	—	—	最善を尽くす	13	13
better	FALSE	[bétər]	K	Adjective	(〜より) もっとよい	13	13
better	FALSE	[bétər]	G	Adverb	もっとじょうずに (well, very much の比較級)	64	64
between	FALSE	[bitwíːn]	D	Preposition	〜の間に[で]	94	94
beyond	FALSE	[biάnd]	D	Preposition	〜を越えて	92	92
bicycle	TRUE	[báisikl]	A	Noun	自転車	1	1
big	TRUE	[big]	K	Adjective	大きい	1	1
bike	TRUE	[baik]	A	Noun	自転車 (おもな米), オートバイ	52	52
bill	FALSE	[bil]	A	Noun	請求書	1	1
birthday	TRUE	[bə́ːrθdèi]	A	Noun	誕生日	1	1
bit	FALSE	[bit]	A	Noun	少量, 少し	12	12
a bit	FALSE	—	—	—	少し	12	12
bitter	FALSE	[bítər]	K	Adjective	苦い	1	1
black	TRUE	[blæk]	K	Adjective	黒い	1	1
blame	FALSE	[bleim]	B	Verb	〜を責める	69	69
blossom	FALSE	[blάsəm]	A	Noun	(おもに果樹の) 花	99	99
Blue Mountains	FALSE	[blúː máuntnz]	A	Noun	ブルーマウンテンズ (オーストラリア南東部にある高原)	1	1
boarding	FALSE	[bɔ́ːrdiŋ]	A	Noun	搭乗, 搭乗券	117	117
boat	TRUE	[bout]	A	Noun	ボート, 小舟	67	67
Bob	FALSE	[bɑb]	A	Noun	ボブ (男子の名)	80	80
body	TRUE	[bάdi]	A	Noun	体, 体つき	1	1
boiled	FALSE	[bɔild]	K	Adjective	ゆでた, 煮た	131	131
bomb	FALSE	[bɑm]	A	Noun	爆弾	112	112
bone	FALSE	[boun]	A	Noun	骨	43	43
book	TRUE	[buk]	A	Noun	本	1	1
bookstore	TRUE	[búkstɔ̀ːr]	A	Noun	本屋	1	1
border	FALSE	[bɔ́ːrdər]	A	Noun	国境, 境界(線)	92	92
bored	FALSE	[bɔːrd]	K	Adjective	退屈した	130	130
boring	FALSE	[bɔ́ːriŋ]	K	Adjective	退屈な	132	132
born	FALSE	[bɔːrn]	B	Verb	(bear の過去分詞)	1	1
be born	FALSE	—	—	—	(〜に) 生まれる	120	120
both	FALSE	[bouθ]	K	Adjective	両方の	1	1
both A and B	FALSE	—	—	—	AもBも両方とも	67	67
bottom	FALSE	[bάtəm]	A	Noun	底, 最下部	105	105
bought	FALSE	[bɔːt]	B	Verb	(buy の過去形・過去分詞)	46	46
bowl	FALSE	[boul]	A	Noun	どんぶり, わん	32	32
bowling	FALSE	[bóuliŋ]	A	Noun	ボウリング	129	129
go bowling	FALSE	—	—	—	ボウリングに行く	129	129
box	TRUE	[bɑks]	A	Noun	箱	1	1
boy	TRUE	[bɔi]	A	Noun	少年	1	1
brain	FALSE	[brein]	A	Noun	脳	102	102
brand	FALSE	[brænd]	A	Noun	ブランド, 銘柄	1	1
brass band	FALSE	[brǽs bæ̀nd]	A	Noun	ブラスバンド	131	131
Brazil	FALSE	[brəzíl]	A	Noun	ブラジル	1	1
bread	TRUE	[bred]	A	Noun	パン	1	1
break	TRUE	[breik]	B	Verb	〜をこわす, 割る	1	1
break	TRUE	[breik]	A	Noun	休憩	111	111
breakfast	TRUE	[brékfəst]	A	Noun	朝食	1	1
breathe	FALSE	[briːð]	B	Verb	呼吸する	102	102
breathing	FALSE	[bríːðiŋ]	A	Noun	呼吸	1	1
bridge	TRUE	[bridʒ]	A	Noun	橋	56	56
bring	TRUE	[briŋ]	B	Verb	連れてくる, 持ってくる	50	50
broke	FALSE	[brouk]	B	Verb	(break の過去形)	1	1
broken	FALSE	[bróukən]	B	Verb	(break の過去分詞)	111	111
Brooklyn	FALSE	[brúklin]	A	Noun	ブルックリン (ニューヨーク市の区の1つ)	1	1
brother	TRUE	[brʌ́ðər]	A	Noun	兄, 弟	1	1
brown	TRUE	[braun]	K	Adjective	茶色(の)	109	109
brush	FALSE	[brʌʃ]	B	Verb	歯をみがく	1	1
build	TRUE	[bild]	B	Verb	建てる, 作る	57	57
building	TRUE	[bíldiŋ]	A	Noun	建物, ビルディング	88	88
built	FALSE	[bilt]	B	Verb	(build の過去形・過去分詞)	1	1
burger	FALSE	[bə́ːrgər]	A	Noun	ハンバーガー	30	30
bury	FALSE	[béri]	B	Verb	埋葬する, 埋める	93	93
bus	TRUE	[bʌs]	A	Noun	バス	1	1
busy	TRUE	[bízi]	K	Adjective	忙しい	1	1
but	TRUE	[bʌt, bət]	H	Conjunction	しかし	1	1
butcher shop	FALSE	[bútʃər ʃɑ̀p]	A	Noun	肉屋	132	132
butter	FALSE	[bʌ́tər]	A	Noun	バター	109	109
button	FALSE	[bʌ́tn]	A	Noun	(衣類の) ボタン	1	1
buy	TRUE	[bai]	B	Verb	買う	1	1
by	TRUE	[bai]	D	Preposition	(手段を表して) 〜で	1	1
by	TRUE	[bai]	D	Preposition	〜のそばに[の], 〜のかたわらに	1	1
by	TRUE	[bai]	D	Preposition	(期限・期日) 〜までに	53	53
by mistake	FALSE	—	—	—	誤って	94	94
by oneself	FALSE	—	—	—	ひとりで, 独力で	89	89
by the way	FALSE	—	—	—	ところで	36	36
bye	TRUE	[bai]	C	Interjection	さようなら, じゃあね	11	11
cabbage	FALSE	[kǽbidʒ]	A	Noun	キャベツ	43	43
Caesar salad	FALSE	[síːzər sǽləd]	A	Noun	シーザーサラダ	61	61
cafe	FALSE	[kæféi]	A	Noun	カフェ, 喫茶店	76	76
cake	TRUE	[keik]	A	Noun	ケーキ	1	1
call	TRUE	[kɔːl]	B	Verb	電話をかける	1	1
call	TRUE	[kɔːl]	B	Verb	呼び出す	125	125
calm	FALSE	[kɑːm]	K	Adjective	穏やかな, 落ち着いた, 穏やかな	127	127
came	FALSE	[keim]	B	Verb	(come の過去形)	1	1
camera	TRUE	[kǽmərə]	A	Noun	カメラ	73	73
camp	TRUE	[kæmp]	A	Noun	キャンプ, 野営	9	9
camp	TRUE	[kæmp]	B	Verb	キャンプをする	64	64
can	TRUE	[kæn, kən]	M	Auxiliary verb	〜することができる	1	1
Can I help you?	FALSE	—	—	—	いらっしゃいませ (店員が客に対して)	1	1
Can I ~?	FALSE	—	—	—	〜してもよいですか	1	1
Can you ~?	FALSE	—	—	—	〜してくれませんか, 〜しませんか	1	1
can't	FALSE	[kænt]	—	—	(cannot の短縮形)	1	1
Canada	TRUE	[kǽnədə]	A	Noun	カナダ	1	1
candle	FALSE	[kǽndl]	A	Noun	ろうそく	32	32
career	FALSE	[kəríər]	A	Noun	経歴	132	132
care	FALSE	[kɛər]	A	Noun	注意, 用心	1	1
take care	FALSE	—	—	—	気をつける, 注意する	12	12
careful	FALSE	[kέərfl]	K	Adjective	注意深い	12	12
carefully	FALSE	[kέərfəli]	G	Adverb	注意深く	46	46
careless	FALSE	[kέərlis]	K	Adjective	不注意な	1	1
careless mistake	FALSE	—	—	—	不注意な間違い	1	1
Carol	FALSE	[kǽrəl]	A	Noun	キャロル (女子の名)	1	1
carp	FALSE	[kɑːrp]	A	Noun	コイ	bad	bad
carry	FALSE	[kǽri]	B	Verb	運ぶ	1	1
case	FALSE	[keis]	A	Noun	箱	1	1
cash	FALSE	[kæʃ]	A	Noun	現金	1	1
cash register	FALSE	[kæʃ rédʒistər]	A	Noun	(店の) レジ	118	118
castle	TRUE	[kǽsl]	A	Noun	城	1	1
casual	FALSE	[kǽʒuəl]	K	Adjective	ふだん着の, カジュアルな	118	118
cat	TRUE	[kæt]	A	Noun	ネコ	1	1
catch	TRUE	[kætʃ]	B	Verb	つかまえる	33	33
caught	FALSE	[kɔːt]	B	Verb	(catch の過去形・過去分詞)	126	126
cause	FALSE	[kɔːz]	B	Verb	引き起こす	1	1
CD	TRUE	[sìːdíː]	A	Noun	CD (コンパクトディスク)	32	32
CBC	FALSE	[síːbìːsíː]	A	Noun	CBC (カナダ放送協会)	88	88
ceiling	FALSE	[síːliŋ]	A	Noun	天井	131	131
cello	FALSE	[tʃélou]	A	Noun	チェロ	29	29
cent	FALSE	[sent]	A	Noun	セント (アメリカ, カナダ, オーストラリア, ニュージーランドなどの貨幣単位, 1 ドルの 100 分の 1)	1	1
centimeter	FALSE	[séntəmìːtər]	A	Noun	センチメートル	77	77
championship	FALSE	[tʃǽmpiənʃìp]	A	Noun	選手権(大会), 優勝	23	23
change	TRUE	[tʃeindʒ]	B	Verb	変える	117	117
character	FALSE	[kǽriktər]	A	Noun	(小説・劇などの) 登場人物	1	1
character	FALSE	[kǽriktər]	A	Noun	キャラクターグッズなどの	1	1
charity	FALSE	[tʃǽrəti]	A	Noun	チャリティー	1	1
chat	FALSE	[tʃæt]	B	Verb	おしゃべりをする	118	118
cheap	FALSE	[tʃiːp]	K	Adjective	安い	31	31
check	TRUE	[tʃek]	B	Verb	調べる, 確かめる	30	30
check out ~	FALSE	—	—	—	(ホテルの) チェックアウトをする	131	131
cheek	FALSE	[tʃiːk]	A	Noun	ほほ	101	101
cheerful	FALSE	[tʃíərfl]	K	Adjective	元気のよい	1	1
cheerfully	FALSE	[tʃíərfəli]	G	Adverb	元気よく	1	1
cheerleader	FALSE	[tʃíərlìːdər]	A	Noun	チアリーダー	20	20
cheese	TRUE	[tʃiːz]	A	Noun	チーズ	33	33
cheeseburger	FALSE	[tʃíːzbə̀ːrgər]	A	Noun	チーズバーガー	1	1
chef	FALSE	[ʃef]	A	Noun	シェフ, 料理長	1	1
cherry	FALSE	[tʃéri]	A	Noun	サクランボ	99	99
cherry blossom	FALSE	[tʃéri blάsəm]	A	Noun	サクラの花	99	99
chewy	FALSE	[tʃúːi]	K	Adjective	かみごたえのある	87	87
chicken	TRUE	[tʃíkin]	A	Noun	ニワトリ, 鶏肉	1	1
child	TRUE	[tʃaild]	A	Noun	子ども	18	18
children	TRUE	[tʃíldrən]	A	Noun	(child の複数形)	93	93
chilly	FALSE	[tʃíli]	K	Adjective	肌寒い	1	1
Chinese	FALSE	[tʃainíːz]	A	Noun	中国語	12	12
choose	TRUE	[tʃuːz]	B	Verb	選ぶ	1	1
chopsticks	FALSE	[tʃάpstìks]	A	Noun	(複数形で) 箸	1	1
cider	FALSE	[sáidər]	A	Noun	リンゴジュース	1	1
city	TRUE	[síti]	A	Noun	市, 都市	1	1
city hall	FALSE	[síti hɔ́ːl]	A	Noun	市役所	1	1
clarinet	FALSE	[klæ̀rənét]	A	Noun	クラリネット	131	131
class	TRUE	[klæs]	A	Noun	クラス	1	1
classmate	TRUE	[klǽsmèit]	A	Noun	クラスメート, 同級生	1	1
classroom	TRUE	[klǽsrùːm]	A	Noun	教室	1	1
classroom activities	FALSE	[klǽsrùːm æktívətiz]	A	Noun	学級活動	1	1
clay	FALSE	[klei]	A	Noun	粘土	111	111
clean	TRUE	[kliːn]	B	Verb	掃除する	1	1
clean	TRUE	[kliːn]	K	Adjective	きれいな, 清潔な	1	1
clear	FALSE	[klíər]	K	Adjective	すき通った, 雲のない	55	55
clerk	FALSE	[kləːrk]	A	Noun	店員	125	125
clever	FALSE	[klévər]	K	Adjective	賢い	1	1
climb	TRUE	[klaim]	B	Verb	登る	1	1
clock	TRUE	[klɑk]	A	Noun	(壁掛けなどの) 時計	1	1
close	TRUE	[klouz]	B	Verb	閉じる	1	1
closet	FALSE	[klάzit]	A	Noun	押し入れ, クローゼット	131	131
closing ceremony	FALSE	[klóuziŋ sérəmòuni]	A	Noun	終業式, 閉会式	80	80
cloth	FALSE	[klɔːθ]	A	Noun	布, 服地	132	132
clothes	TRUE	[klouz]	A	Noun	衣服, 着物	1	1
cloud	TRUE	[klaud]	A	Noun	雲	1	1
cloudy	TRUE	[kláudi]	K	Adjective	くもりの	1	1
club	TRUE	[klʌb]	A	Noun	クラブ, 部	1	1
club activities	FALSE	[klʌ́b æktívətiz]	A	Noun	クラブ活動	1	1
coach	FALSE	[koutʃ]	A	Noun	コーチ	24	24
coast	FALSE	[koust]	A	Noun	海岸	98	98
coat	FALSE	[kout]	A	Noun	コート, 上着	1	1
coffee	TRUE	[kɔ́ːfi]	A	Noun	コーヒー	29	29
coffee shop	FALSE	[kɔ́ːfi ʃɑ̀p]	A	Noun	喫茶店	132	132
cold	TRUE	[kould]	K	Adjective	寒い, 冷たい	1	1
cold	TRUE	[kould]	A	Noun	かぜ	67	67
color	TRUE	[kʌ́lər]	A	Noun	色	1	1
color	TRUE	[kʌ́lər]	B	Verb	〜に色を塗る	73	73
come	TRUE	[kʌm]	B	Verb	来る	1	1
come back	FALSE	—	—	—	もどる	1	1
comfortable	FALSE	[kʌ́mfərtəbl]	K	Adjective	快適な	88	88
comic	FALSE	[kάmik]	A	Noun	マンガの	1	1
comic book	FALSE	—	—	—	マンガの本	1	1
common	FALSE	[kάmən]	K	Adjective	ふつうの, ありふれた	1	1
communication	FALSE	[kəmjùːnəkéiʃən]	A	Noun	コミュニケーション, 気持ちを伝え合うこと	1	1
community	FALSE	[kəmjúːnəti]	A	Noun	地域社会	1	1
company	TRUE	[kʌ́mpəni]	A	Noun	会社	1	1
completely	FALSE	[kəmplíːtli]	G	Adverb	完全に	46	46
computer	TRUE	[kəmpjúːtər]	A	Noun	コンピューター	1	1
concert	TRUE	[kάnsərt]	A	Noun	コンサート	1	1
confused	FALSE	[kənfjúːzd]	K	Adjective	混乱した	130	130
confusing	FALSE	[kənfjúːziŋ]	K	Adjective	混乱させるような	132	132
congratulation	FALSE	[kəngræ̀tʃuléiʃən]	A	Noun	おめでとう	1	1
contain	FALSE	[kəntéin]	B	Verb	含む	127	127
contest	FALSE	[kάntest]	A	Noun	コンテスト, 競技(会)	27	27
continue	FALSE	[kəntínjuː]	B	Verb	続く, 続ける	1	1
convenience store	FALSE	[kənvíːnjəns stɔ́ːr]	A	Noun	コンビニ (コンビニエンスストア)	83	83
convenient	FALSE	[kənvíːnjənt]	K	Adjective	便利な	1	1
cook	TRUE	[kuk]	B	Verb	料理する	1	1
cook	TRUE	[kuk]	A	Noun	料理人, コック	132	132
cookie	TRUE	[kúki]	A	Noun	クッキー	1	1
cooking	FALSE	[kúkiŋ]	A	Noun	料理(すること)	1	1
cool	TRUE	[kuːl]	K	Adjective	かっこいい, すごい	1	1
coral	FALSE	[kɔ́ːrəl]	A	Noun	サンゴ	1	1
coral reef	FALSE	[kɔ́ːrəl ríːf]	A	Noun	サンゴ礁	1	1
corn	FALSE	[kɔːrn]	A	Noun	トウモロコシ	1	1
corn dog	FALSE	[kɔ́ːrn dɔ̀ːg]	A	Noun	コーンドッグ (アメリカンドッグに似たスナックソーセージ)	35	35
corner	TRUE	[kɔ́ːrnər]	A	Noun	角, かど	1	1
cost	FALSE	[kɔːst]	B	Verb	費用がかかる	113	113
could	FALSE	[kud, kəd]	M	Auxiliary verb	(can の過去形)	47	47
couldn't	FALSE	[kúdnt]	—	—	(could not の短縮形)	47	47
country	TRUE	[kʌ́ntri]	A	Noun	国	1	1
country	TRUE	[kʌ́ntri]	A	Noun	いなか	1	1
course	FALSE	[kɔərs]	A	Noun	進路	1	1
of course	FALSE	—	—	—	もちろん	1	1
